name,navanLink,picture,starRating,navanRating,perNight,total,latitude,longitude
Pullman Singapore Orchard,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/0607a7ab-a300-4bc7-a087-ca221f0f6219,https://i.travelapi.com/lodging/1000000/910000/906200/906129/77c91aca_b.jpg,4.5-star hotel,8.2 Very good,$166 nightly,"$1,151",1.3031053,103.836202
Holiday Inn Express Singapore Serangoon by IHG,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/bb82acf2-d45e-4912-ac0b-1a459c044380,https://i.travelapi.com/lodging/10000000/9820000/9812700/9812663/5b257504_b.jpg,4-star hotel,8.2 Very good,$103 nightly,$708,,
Quincy Hotel Singapore by Far East Hospitality,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/0db0ee22-5679-49d3-9bc5-93744bc03918,https://i.travelapi.com/lodging/3000000/2460000/2450100/2450073/07eae670_b.jpg,4-star hotel,8.7 Very good,$129 nightly,$771,,
Grand Hyatt Singapore,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/1b31dfcc-857a-45ef-9806-a1a05dd6eccd,https://i.travelapi.com/lodging/1000000/20000/11500/11421/7d6cca31_b.jpg,5-star hotel,8.3 Very good,$333 nightly,"$1,664",1.3063453,103.8332833
Orchid Hotel,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/99bdb512-240e-4568-9341-ef9422d14160,https://i.travelapi.com/lodging/9000000/8640000/8639100/8639079/e7085d9d_b.jpg,4-star hotel,8.1 Very good,$265 nightly,"$1,586",1.2768871,103.8438844
Royal Plaza on Scotts,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/d658ba93-5d36-4242-83b3-7ff1e2c2f109,https://i.travelapi.com/lodging/1000000/30000/23800/23799/6ea517b1_b.jpg,4.5-star hotel,8.4 Very good,$160 nightly,$960,1.3068779,103.8321576
Oakwood Studios Singapore,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/096ba125-0d60-4bf1-9d44-46499e07d8c2,https://i.travelapi.com/lodging/16000000/16000000/15995200/15995168/15ffc4b6_b.jpg,4-star hotel,8.7 Very good,$166 nightly,$828,1.3069753,103.8361781
Vibe Hotel Singapore Orchard,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/17ff67cf-9b82-464a-b622-f23717982206,https://i.travelapi.com/lodging/1000000/20000/19500/19440/4edc425a_b.jpg,4-star hotel,8.1 Very good,$110 nightly,$682,1.3081847,103.8358051
"Lanson Place Winsland, Singapore",https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/b6de442a-7815-41c0-9327-c145361abe5d,https://i.travelapi.com/lodging/8000000/7790000/7781500/7781414/a3630cec_b.jpg,4-star hotel,9.0 Excellent,$180 nightly,"$1,153",,
Ascott Orchard Singapore,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/896e8972-34c7-4d17-905b-2d7c5fef1c33,https://i.travelapi.com/lodging/17000000/16230000/16223700/16223639/6f3f69cd_b.jpg,5-star hotel,8.6 Very good,$195 nightly,"$1,168",1.3039558,103.8372483
Orchard Rendezvous Hotel by Far East Hospitality,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/3acb3264-e746-4588-96c1-0c14653d7aac,https://i.travelapi.com/lodging/1000000/910000/906100/906059/b3f6adcf_b.jpg,4-star hotel,8.0 Very good,$123 nightly,$740,,
Hotel NuVe Urbane,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/b71244f4-bd44-4f8e-912f-1656cbefac3a,https://i.travelapi.com/lodging/20000000/19240000/19230800/19230751/c6aee31c_b.jpg,4-star hotel,8.0 Very good,$95 nightly,$572,1.3072405,103.8588731
Louis Kienne Serviced Residences,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/50c1aa2e-a209-4800-b1fb-e055cba17e17,https://i.travelapi.com/lodging/10000000/9840000/9833300/9833251/e8c9da1c_b.jpg,4-star hotel,8.4 Very good,$193 nightly,"$1,156",,
Goodwood Park Hotel,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/430122b3-8466-460f-9519-80afbc693eff,https://i.travelapi.com/lodging/1000000/10000/4200/4173/2a7f2bed_b.jpg,4.5-star hotel,8.4 Very good,$180 nightly,"$1,082",1.3086899,103.8349935
The Sultan,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/b22402b6-94d6-4935-8a45-d25fc6d64d49,https://i.travelapi.com/lodging/6000000/5540000/5534800/5534784/83118415_b.jpg,4-star hotel,8.0 Very good,$138 nightly,$830,1.3032634,103.8609774
Como Metropolitan Singapore,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/477e8caf-c8bf-4fd3-9d1f-06c7d9fa3b6e,https://i.travelapi.com/lodging/96000000/95440000/95440000/95439982/1288315e_b.jpg,5-star hotel,8.4 Very good,$270 nightly,"$1,616",,
Hotel Indigo Singapore Katong  by IHG,https://app.navan.com/app/user2/search/hotels/5470ac83-7ac7-4e66-b099-1fc927ea15be/hotels/05b0535f-1ce5-459f-bc80-848e4f012b65,https://i.travelapi.com/lodging/13000000/12500000/12494300/12494241/40da75c8_b.jpg,4.5-star hotel,9.0 Excellent,$167 nightly,"$1,161",,
Fraser Suites Singapore,,,,,,"S$12,754.20",1.2914,103.8363
